queue_order,action_type,urgency,country,country_risk_score,private_record_count,high_priority_print_candidates,date,document_type,title,source_series,source_folder,priority,score,release_or_access_status,page_count_or_range,evidence,recommended_action,source_note,pdf_url,catalog_url
4282,High-priority print candidate,Monitor,Venezuela,18,31,109,"September 20, 1989",Memorandum,State Department Proposed Presidential Letter to,Latin American Directorate Chronological Files,"September 16, 1989-September 30, 1989 [3]",High,90,Restricted - Possibly,71,"memorandum form; Presidential or NSC principals; democracy, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-019, September 16, 1989-September 30, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-019.pdf,https://catalog.archives.gov/id/470766456
4282,High-priority print candidate,Monitor,Venezuela,18,31,109,"September 25, 1989",Memorandum of Conversation,Meeting with Venezuelan President Carlos,Latin American Directorate Chronological Files,"October 16, 1989-October 31, 1989 [3]",High,72,Restricted - Possibly,7,"memorandum form; Presidential or NSC principals; presidential diplomacy, regional policy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00303, CF00303-006, October 16, 1989-October 31, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00303-006.pdf,https://catalog.archives.gov/id/470766463
4282,High-priority print candidate,Monitor,Venezuela,18,31,109,"September 25, 1989",Memorandum of Conversation,Meeting with Venezuelan President Carlos,Latin American Affairs Directorate Subject Files,"Venezuela - January 20, 1989-December 31, 1989 [1]",High,72,Restricted - Possibly,25,"memorandum form; Presidential or NSC principals; presidential diplomacy, regional policy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-018, Venezuela - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2009-0704-F.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-018.pdf,https://catalog.archives.gov/id/470766533
4282,High-priority print candidate,Monitor,Venezuela,18,31,109,"September 30, 1989",Memorandum,Your Meeting with Venezuelan Foreign Minister,Latin American Directorate Chronological Files,"September 16, 1989-September 30, 1989 [1]",High,72,Restricted - Possibly,6,"memorandum form; Presidential or NSC principals; presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-017, September 16, 1989-September 30, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-017.pdf,https://catalog.archives.gov/id/470766454
4900,High-priority print candidate,Review,,,,,,Memorandum,Andean Trade Package,Latin American Affairs Directorate Subject Files,Andean [Drug] Summit 1989 [1],High,90,Restricted - Possibly,74,"memorandum form; Presidential or NSC principals; Andean, drug, narcotics; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-002, Andean [Drug] Summit 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-002.pdf,https://catalog.archives.gov/id/470766475
4900,High-priority print candidate,Review,,,,,,Memorandum,Certification for Narcotics Source,Latin American Affairs Directorate Subject Files,"Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [4]",High,90,Restricted - Possibly,52,"memorandum form; Presidential or NSC principals; narcotics, drug, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00194, CF00194-016, Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-016.pdf,https://catalog.archives.gov/id/470766553
4900,High-priority print candidate,Review,,,,,,Memorandum,Certifications for Narcotics Source,Latin American Affairs Directorate Subject Files,"Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [4]",High,78,Restricted - Possibly,24,"memorandum form; Presidential or NSC principals; narcotics, drug, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00194, CF00194-016, Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-016.pdf,https://catalog.archives.gov/id/470766553
4900,High-priority print candidate,Review,,,,,,Memorandum,From Brent Scowcroft to POTUS Re: Latin America Debt Initiative,Timothy E. Deal Subject Files,Latin America [2],High,80,Restricted - Possibly,2,"memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy, regional policy; identified on withdrawal sheet","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Deal, Timothy E., Files, Subject Files, OA/ID CF00964, CF00964-010, Latin America [2]. Access restriction: Restricted - Possibly. FOIA 2023-1227-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00964-010.pdf,https://catalog.archives.gov/id/452050579
4900,High-priority print candidate,Review,,,,,,Memorandum,From Brent Scowcroft to POTUS Re: Official Debt Relief for Latin America,Timothy E. Deal Subject Files,Latin America [2],High,80,Restricted - Possibly,2,"memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy, regional policy; identified on withdrawal sheet","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Deal, Timothy E., Files, Subject Files, OA/ID CF00964, CF00964-010, Latin America [2]. Access restriction: Restricted - Possibly. FOIA 2023-1227-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00964-010.pdf,https://catalog.archives.gov/id/452050579
4900,High-priority print candidate,Review,,,,,,Memorandum,From Meg Lundsager to Brent Scowcroft Re: Latin American Debt,Timothy E. Deal Subject Files,Latin America [2],High,80,Restricted - Possibly,2,"memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy, regional policy; identified on withdrawal sheet","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Deal, Timothy E., Files, Subject Files, OA/ID CF00964, CF00964-010, Latin America [2]. Access restriction: Restricted - Possibly. FOIA 2023-1227-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00964-010.pdf,https://catalog.archives.gov/id/452050579
4900,High-priority print candidate,Review,,,,,,Memorandum,From Meg Lundsager to Brent Scowcroft Re: Status of Latin America Speech,Timothy E. Deal Subject Files,Latin America [2],High,80,Restricted - Possibly,2,"memorandum form; Presidential or NSC principals; presidential diplomacy, regional policy; identified on withdrawal sheet","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Deal, Timothy E., Files, Subject Files, OA/ID CF00964, CF00964-010, Latin America [2]. Access restriction: Restricted - Possibly. FOIA 2023-1227-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00964-010.pdf,https://catalog.archives.gov/id/452050579
4900,High-priority print candidate,Review,,,,,,Memorandum,From Meg Lundsager/Don Johnson to Brent Scowcroft Re: Comments on Draft Speech,Timothy E. Deal Subject Files,Latin America [2],High,80,Restricted - Possibly,2,"memorandum form; Presidential or NSC principals; presidential diplomacy, regional policy; identified on withdrawal sheet","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Deal, Timothy E., Files, Subject Files, OA/ID CF00964, CF00964-010, Latin America [2]. Access restriction: Restricted - Possibly. FOIA 2023-1227-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00964-010.pdf,https://catalog.archives.gov/id/452050579
4900,High-priority print candidate,Review,,,,,,Memorandum,From Nicholas Brady to POTUS Re: Latin America Debt Reduction Proposal,Timothy E. Deal Subject Files,Latin America [2],High,80,Restricted - Possibly,2,"memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy, regional policy; identified on withdrawal sheet","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Deal, Timothy E., Files, Subject Files, OA/ID CF00964, CF00964-010, Latin America [2]. Access restriction: Restricted - Possibly. FOIA 2023-1227-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00964-010.pdf,https://catalog.archives.gov/id/452050579
4900,High-priority print candidate,Review,,,,,,Information Memo,GOC'S ANTI-NARCOTICS IMAGE,Latin American Affairs Directorate Subject Files,"Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [3]",High,70,Restricted - Possibly,83,"memorandum form; narcotics, drug, ussr/cuba; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00194, CF00194-015, Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-015.pdf,https://catalog.archives.gov/id/470766552
4900,High-priority print candidate,Review,,,,,,Memorandum,Meeting with Columbus Group,Latin American Affairs Directorate Subject Files,"Latin America - General - January 20, 1989-December 31, 1989 [1]",High,72,Restricted - Possibly,65,"memorandum form; Presidential or NSC principals; Latin America, presidential diplomacy, regional policy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00196, CF00196-020, Latin America - General - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00196-020.pdf,https://catalog.archives.gov/id/470766606
4900,High-priority print candidate,Review,,,,,,Memorandum,Meetings with Secretaries Baker and Cheney,Latin American Affairs Directorate Subject Files,"Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [3]",High,90,Restricted - Possibly,93,"memorandum form; Presidential or NSC principals; narcotics, drug, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00194, CF00194-015, Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-015.pdf,https://catalog.archives.gov/id/470766552
4900,High-priority print candidate,Review,,,,,,Memorandum,President’s Participation in UNGA,Latin American Affairs Directorate Subject Files,"Latin America - January 20, 1989-December 31, 1989 [1]",High,72,Restricted - Possibly,40,"memorandum form; Presidential or NSC principals; Latin America, presidential diplomacy, regional policy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00192, CF00192-001, Latin America - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00192-001.pdf,https://catalog.archives.gov/id/470766496
4900,High-priority print candidate,Review,,,,,,Memorandum,Re: Counternarcotics To:,Latin American Affairs Directorate Subject Files,"Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [3]",High,78,Restricted - Possibly,91,"memorandum form; Presidential or NSC principals; narcotics, drug, presidential diplomacy; identified on withdrawal sheet","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00194, CF00194-015, Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-015.pdf,https://catalog.archives.gov/id/470766552
4900,High-priority print candidate,Review,,,,,,Memorandum,Re: PCC Conclusions To: Policy Coordinating Committee From:,Latin American Affairs Directorate Subject Files,Andean [Drug] Summit 1989 [1],High,70,Restricted - Possibly,21,"memorandum form; Andean, drug, narcotics; identified on withdrawal sheet","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-002, Andean [Drug] Summit 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-002.pdf,https://catalog.archives.gov/id/470766475
4900,High-priority print candidate,Review,,,,,,Memorandum,Reply to the President of the Dominican Republic,Latin American Affairs Directorate Subject Files,"Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [3]",High,78,Restricted - Possibly,72,"memorandum form; Presidential or NSC principals; narcotics, drug, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00194, CF00194-015, Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-015.pdf,https://catalog.archives.gov/id/470766552
4900,High-priority print candidate,Review,,,,,,Memorandum,Summit with Andeans on Drugs,Latin American Affairs Directorate Subject Files,"Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [1]",High,70,Restricted - Possibly,32,"memorandum form; narcotics, drug; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00194, CF00194-013, Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-013.pdf,https://catalog.archives.gov/id/470766550
4900,High-priority print candidate,Review,,,,,,Memorandum,The President's Drug Certifications,Latin American Affairs Directorate Subject Files,"Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [4]",High,90,Restricted - Possibly,23,"memorandum form; Presidential or NSC principals; narcotics, drug, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00194, CF00194-016, Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-016.pdf,https://catalog.archives.gov/id/470766553
4900,High-priority print candidate,Review,,,,,,Memorandum,To: PCC From:,Latin American Affairs Directorate Subject Files,Andean [Drug] Summit 1989 [2],High,70,Restricted - Possibly,2,"memorandum form; Andean, drug, narcotics; identified on withdrawal sheet","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-003, Andean [Drug] Summit 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-003.pdf,https://catalog.archives.gov/id/470766476
4900,High-priority print candidate,Review,,,,,,Memorandum,To: PCC From:,Latin American Affairs Directorate Subject Files,Andean [Drug] Summit 1989 [2],High,70,Restricted - Possibly,3,"memorandum form; Andean, drug, narcotics; identified on withdrawal sheet","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-003, Andean [Drug] Summit 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-003.pdf,https://catalog.archives.gov/id/470766476
4900,High-priority print candidate,Review,,,,,,Memorandum,To: Policy Coordinating Committee From:,Latin American Affairs Directorate Subject Files,Andean [Drug] Summit 1989 [1],High,70,Restricted - Possibly,2,"memorandum form; Andean, drug, narcotics; identified on withdrawal sheet","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-002, Andean [Drug] Summit 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-002.pdf,https://catalog.archives.gov/id/470766475
4900,High-priority print candidate,Review,,,,,,Memorandum,To: Robert Gates From: Rand,Latin American Affairs Directorate Subject Files,Andean [Drug] Summit 1989 [1],High,70,Restricted - Possibly,4,"memorandum form; Andean, drug, narcotics; identified on withdrawal sheet","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-002, Andean [Drug] Summit 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-002.pdf,https://catalog.archives.gov/id/470766475
4900,High-priority print candidate,Review,,,,,,Memorandum,To: Robert Gates From: Rand,Latin American Affairs Directorate Subject Files,"Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [3]",High,70,Restricted - Possibly,2,"memorandum form; narcotics, drug; identified on withdrawal sheet","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00194, CF00194-015, Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [3]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-015.pdf,https://catalog.archives.gov/id/470766552
4900,High-priority print candidate,Review,,,,,,Memorandum,To: the President.,Latin American Affairs Directorate Subject Files,"Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [2]",High,90,Restricted - Possibly,18,"memorandum form; Presidential or NSC principals; narcotics, drug, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00194, CF00194-014, Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-014.pdf,https://catalog.archives.gov/id/470766551
4900,High-priority print candidate,Review,,,,,"_7/25/89 ACTION/CONCURRENCE/COMMENT DUE BY: 12200 NOON, 7/26/89",Action Memo,_SIX MONTHS OF THE BUSH ADMINISTRATION,Latin American Affairs Directorate Subject Files,"Latin America - January 20, 1989-December 31, 1989 [2]",High,72,Restricted - Possibly,4,"memorandum form; Presidential or NSC principals; Latin America, presidential diplomacy, regional policy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00192, CF00192-002, Latin America - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00192-002.pdf,https://catalog.archives.gov/id/470766497
4900,High-priority print candidate,Review,,,,,. Open..,Memorandum,"From:; "" JOSEPH W. 'HAGIN I",Latin American Affairs Directorate Subject Files,The Columbus Group [Influential South American Businessmen],High,72,Restricted - Possibly,12,"memorandum form; Presidential or NSC principals; South America, Columbus Group, presidential diplomacy; document text visible in OCR","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-011, The Columbus Group [Influential South American Businessmen]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-011.pdf,https://catalog.archives.gov/id/470766568
4900,High-priority print candidate,Review,,,,,12/4/89,Memorandum,To: Robert Gates From: David Miller,Latin American Affairs Directorate Subject Files,Andean [Drug] Summit 1989 [2],High,70,Restricted - Possibly,4,"memorandum form; Andean, drug, narcotics; identified on withdrawal sheet","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-003, Andean [Drug] Summit 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-003.pdf,https://catalog.archives.gov/id/470766476
4900,High-priority print candidate,Review,,,,,6/11/90,Memorandum,From Meg Lundsager to Brent Scowcroft Re: Briefing Memo on Debt for the President,Timothy E. Deal Subject Files,Latin America [2],High,92,Restricted - Possibly,3,"memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy, regional policy; identified on withdrawal sheet","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Deal, Timothy E., Files, Subject Files, OA/ID CF00964, CF00964-010, Latin America [2]. Access restriction: Restricted - Possibly. FOIA 2023-1227-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00964-010.pdf,https://catalog.archives.gov/id/452050579
4900,High-priority print candidate,Review,,,,,6/14/90,Memorandum,From Nicholas Brady to POTUS Re: The Role of Official Debt Relief in an Economic Initiative for Latin America,Timothy E. Deal Subject Files,Latin America [2],High,80,Restricted - Possibly,2,"memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy, regional policy; identified on withdrawal sheet","Verify page image, source folder, and date; compare against the country chronology before print selection.","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Deal, Timothy E., Files, Subject Files, OA/ID CF00964, CF00964-010, Latin America [2]. Access restriction: Restricted - Possibly. FOIA 2023-1227-S.",https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00964-010.pdf,https://catalog.archives.gov/id/452050579
